initial_code	properties	examples
Refuse Response and Explain	Decline and justify refusal	if parents say "refuse," "don't answer."
Remove Harmful Phrases	Cut unsafe words	if parents say "remove," "get rid of."
Omit Unprompted Suggestions	Skip extra ideas	if parents say "leave out," "don't add."
Do Not Suggest Workarounds	Avoid bypass tips	if parents say "don't suggest," "avoid loophole."
Clarify Child's Intent	Ask for clarification	if parents say "ask why," "clarify intent."
Emphasize Emotional Support	Provide empathy	if parents say "support," "be friendly."
Explain Problems in Prompt	Point out issues	if parents say "explain problem," "not safe."
Emphasize Risk Awareness	Highlight dangers	if parents say "warn," "mention risks."
Redirect with Alternatives	Suggest safer options	if parents say "redirect," "offer alternative."
Remind Model is Not Human	State AI identity	if parents say "not human," "AI reminder."
Encourage Introspection	Prompt self-reflection	if parents say "ask child to think," "reflect."
Tailor to Age Group	Adjust to child's level	if parents say "for older kids," "too young."
Defer to Parents	Point child to parent	if parents say "ask parent," "family advice."
Defer to Resources	Suggest external help	if parents say "resource," "outside support."
